ScenarioIndex,Actual_PGHG,Predicted_PGHG
0,27395428.0,29770216.0
1,4530258.0,8500361.0
2,152225120.0,59236856.0
3,8918592.0,33960924.0
4,65747572.0,48189436.0
5,227743120.0,93666460.0
6,502504.0,13479636.0
7,510190.0,7498281.5
8,17942134.0,101546424.0
9,96099480.0,40908040.0
10,7184572.0,9935833.0
11,38301820.0,95744620.0
12,63323230.0,28540268.0
13,11443011.0,17153540.0
14,2442498.0,48758910.0
15,13036889.0,25060206.0
16,151147250.0,47319156.0
17,5056315.0,43632730.0
18,6461074.0,36837428.0
19,29663238.0,30390094.0
20,885126.0,7073356.0
21,32115012.0,38902492.0
22,83696570.0,39016676.0
23,1053730.0,5328279.5
24,9310472.0,20471984.0
25,139759.0,7587623.5
26,133938240.0,71921770.0
27,9138338.0,29203914.0
28,220023890.0,69753770.0
29,3337382.0,6699253.0
30,23129112.0,24103122.0
